Time	S1	
0.000766162	0.130054	
0.00080334	0.130136	
0.000842322	0.130222	
0.000883195	0.130311	
0.000926051	0.130405	
0.000970988	0.130502	
0.0010181	0.130604	
0.00106751	0.130711	
0.00111931	0.130822	
0.00117362	0.130938	
0.00123057	0.13106	
0.00129028	0.131186	
0.00135289	0.131318	
0.00141854	0.131456	
0.00148738	0.1316	
0.00155955	0.13175	
0.00163523	0.131906	
0.00171457	0.132069	
0.00179777	0.132239	
0.00188501	0.132416	
0.00197648	0.1326	
0.00207239	0.132792	
0.00217295	0.132992	
0.00227839	0.133199	
0.00238895	0.133415	
0.00250487	0.13364	
0.00262642	0.133873	
0.00275386	0.134115	
0.00288749	0.134367	
0.0030276	0.134628	
0.00317452	0.134898	
0.00332856	0.135179	
0.00349008	0.13547	
0.00365943	0.135771	
0.003837	0.136083	
0.00402319	0.136406	
0.00421841	0.136739	
0.00442311	0.137084	
0.00463774	0.13744	
0.00486278	0.137807	
0.00509875	0.138185	
0.00534616	0.138575	
0.00560558	0.138977	
0.00587759	0.13939	
0.00616279	0.139814	
0.00646184	0.14025	
0.0067754	0.140697	
0.00710417	0.141156	
0.00744889	0.141625	
0.00781035	0.142105	
0.00818934	0.142596	
0.00858672	0.143096	
0.00900339	0.143606	
0.00944027	0.144126	
0.00989836	0.144654	
0.0103787	0.145191	
0.0108823	0.145734	
0.0114103	0.146285	
0.011964	0.146842	
0.0125446	0.147404	
0.0131533	0.14797	
0.0137916	0.148539	
0.0144608	0.149111	
0.0151625	0.149684	
0.0158982	0.150257	
0.0166697	0.150829	
0.0174786	0.151398	
0.0183267	0.151963	
0.019216	0.152523	
0.0201484	0.153076	
0.0211261	0.153621	
0.0221513	0.154156	
0.0232262	0.154679	
0.0243532	0.15519	
0.0255349	0.155685	
0.026774	0.156165	
0.0280732	0.156626	
0.0294354	0.157068	
0.0308638	0.157488	
0.0323614	0.157885	
0.0339317	0.158258	
0.0355782	0.158605	
0.0373046	0.158924	
0.0391148	0.159214	
0.0410129	0.159474	
0.043003	0.159703	
0.0450897	0.159898	
0.0472776	0.16006	
0.0495718	0.160187	
0.0519772	0.160279	
0.0544994	0.160334	
0.0571439	0.160353	
0.0599168	0.160335	
0.0628242	0.16028	
0.0658727	0.160188	
0.0690692	0.160058	
0.0724207	0.159892	
0.0759349	0.15969	
0.0796196	0.159452	
0.0834831	0.159179	
0.0875341	0.158873	
0.0917816	0.158533	
0.0962353	0.158162	
0.100905	0.15776	
0.105801	0.15733	
0.110935	0.156872	
0.116318	0.156388	
0.121963	0.15588	
0.127881	0.155349	
0.134086	0.154797	
0.140593	0.154226	
0.147415	0.153637	
0.154568	0.153031	
0.162068	0.152412	
0.169933	0.151779	
0.178179	0.151136	
0.186825	0.150483	
0.19589	0.149822	
0.205396	0.149156	
0.215362	0.148485	
0.225813	0.147812	
0.23677	0.147139	
0.248259	0.146468	
0.260306	0.145801	
0.272937	0.14514	
0.286181	0.144487	
0.300068	0.143844	
0.314629	0.143215	
0.329896	0.142601	
0.345904	0.142004	
0.362689	0.141429	
0.380288	0.140876	
0.398741	0.140348	
0.41809	0.139849	
0.438377	0.139379	
0.459649	0.138942	
0.481954	0.13854	
0.50534	0.138174	
0.529862	0.137846	
0.555573	0.137557	
0.582532	0.13731	
0.610799	0.137103	
0.640437	0.136939	
0.671514	0.136816	
0.704099	0.136735	
0.738265	0.136695	
0.774089	0.136694	
0.811651	0.136731	
0.851036	0.136804	
0.892332	0.136911	
0.935632	0.137048	
0.981033	0.137212	
1.02864	0.1374	
1.07855	0.137608	
1.13089	0.137832	
1.18576	0.138068	
1.2433	0.138312	
1.30363	0.13856	
1.36689	0.138808	
1.43322	0.139053	
1.50276	0.139291	
1.57568	0.13952	
1.65214	0.139737	
1.73231	0.13994	
1.81637	0.140127	
1.90451	0.140297	
1.99693	0.140451	
2.09383	0.140586	
2.19543	0.140705	
2.30196	0.140808	
2.41366	0.140894	
2.53078	0.140967	
2.65359	0.141027	
2.78235	0.141076	
2.91736	0.141114	
3.05893	0.141145	
3.20736	0.141168	
3.363	0.141185	
3.52618	0.141198	
3.69729	0.141208	
3.8767	0.141214	
4.06481	0.141219	
4.26206	0.141222	
4.46887	0.141224	
4.68572	0.141225	
4.91309	0.141226	
5.1515	0.141227	
5.40147	0.141227	
5.66357	0.141227	
5.9384	0.141227	
6.22655	0.141227	
6.52869	0.141227	
6.84549	0.141227	
7.17767	0.141227	
7.52596	0.141227	
7.89115	0.141227	
8.27407	0.141227	
8.67556	0.141227	
9.09654	0.141227	
9.53794	0.141227	
10.0008	0.141227	
