Time	S1	
0.001	0.238426	
0.00104713	0.238435	
0.00109648	0.238445	
0.00114816	0.238455	
0.00120227	0.238466	
0.00125893	0.238477	
0.00131826	0.238489	
0.00138039	0.238502	
0.00144545	0.238515	
0.00151357	0.238528	
0.0015849	0.238542	
0.0016596	0.238557	
0.00173781	0.238573	
0.00181971	0.238589	
0.00190547	0.238606	
0.00199528	0.238624	
0.00208931	0.238642	
0.00218778	0.238662	
0.00229089	0.238682	
0.00239886	0.238704	
0.00251191	0.238726	
0.0026303	0.238749	
0.00275426	0.238773	
0.00288406	0.238799	
0.00301999	0.238825	
0.00316232	0.238853	
0.00331135	0.238882	
0.00346742	0.238912	
0.00363083	0.238944	
0.00380195	0.238977	
0.00398113	0.239011	
0.00416876	0.239047	
0.00436523	0.239085	
0.00457096	0.239124	
0.00478638	0.239165	
0.00501196	0.239208	
0.00524817	0.239253	
0.00549551	0.239299	
0.00575451	0.239348	
0.00602571	0.239398	
0.0063097	0.239451	
0.00660707	0.239507	
0.00691845	0.239564	
0.00724452	0.239624	
0.00758594	0.239686	
0.00794346	0.239751	
0.00831783	0.239819	
0.00870984	0.23989	
0.00912033	0.239963	
0.00955016	0.24004	
0.0100002	0.240119	
0.0104716	0.240202	
0.0109651	0.240288	
0.0114818	0.240378	
0.012023	0.240471	
0.0125896	0.240567	
0.0131829	0.240667	
0.0138042	0.240771	
0.0144548	0.240879	
0.0151361	0.240991	
0.0158494	0.241107	
0.0165964	0.241228	
0.0173785	0.241352	
0.0181976	0.241481	
0.0190552	0.241615	
0.0199533	0.241753	
0.0208937	0.241895	
0.0218783	0.242042	
0.0229095	0.242194	
0.0239892	0.242351	
0.0251197	0.242512	
0.0263036	0.242678	
0.0275433	0.242849	
0.0288414	0.243025	
0.0302006	0.243206	
0.031624	0.243391	
0.0331144	0.243581	
0.034675	0.243775	
0.0363092	0.243974	
0.0380204	0.244178	
0.0398123	0.244385	
0.0416886	0.244597	
0.0436534	0.244812	
0.0457107	0.245031	
0.047865	0.245253	
0.0501209	0.245478	
0.052483	0.245706	
0.0549565	0.245936	
0.0575465	0.246168	
0.0602586	0.246401	
0.0630986	0.246635	
0.0660724	0.246869	
0.0691863	0.247103	
0.072447	0.247336	
0.0758613	0.247568	
0.0794366	0.247797	
0.0831804	0.248023	
0.0871006	0.248246	
0.0912056	0.248463	
0.095504	0.248675	
0.100005	0.248881	
0.104718	0.249079	
0.109653	0.249268	
0.114821	0.249449	
0.120233	0.249618	
0.125899	0.249777	
0.131833	0.249922	
0.138046	0.250054	
0.144552	0.250171	
0.151364	0.250273	
0.158498	0.250357	
0.165968	0.250424	
0.17379	0.250472	
0.18198	0.2505	
0.190557	0.250508	
0.199538	0.250494	
0.208942	0.250458	
0.218789	0.250399	
0.2291	0.250318	
0.239898	0.250212	
0.251204	0.250083	
0.263043	0.249929	
0.27544	0.249752	
0.288421	0.249551	
0.302014	0.249326	
0.316248	0.249078	
0.331152	0.248808	
0.346759	0.248517	
0.363101	0.248205	
0.380214	0.247875	
0.398133	0.247527	
0.416897	0.247163	
0.436545	0.246785	
0.457119	0.246395	
0.478662	0.245996	
0.501221	0.245588	
0.524843	0.245175	
0.549579	0.244759	
0.57548	0.244342	
0.602601	0.243928	
0.631002	0.243517	
0.66074	0.243114	
0.69188	0.242719	
0.724488	0.242335	
0.758632	0.241965	
0.794386	0.24161	
0.831824	0.241271	
0.871028	0.24095	
0.912078	0.240648	
0.955064	0.240366	
1.00007	0.240104	
1.04721	0.239863	
1.09656	0.239643	
1.14824	0.239443	
1.20236	0.239264	
1.25902	0.239104	
1.31836	0.238962	
1.38049	0.238838	
1.44555	0.23873	
1.51368	0.238637	
1.58502	0.238558	
1.65972	0.238491	
1.73794	0.238435	
1.81985	0.238389	
1.90562	0.238352	
1.99543	0.238322	
2.08947	0.238298	
2.18794	0.238279	
2.29106	0.238264	
2.39904	0.238253	
2.5121	0.238244	
2.63049	0.238238	
2.75447	0.238234	
2.88428	0.23823	
3.02021	0.238228	
3.16255	0.238226	
3.3116	0.238225	
3.46768	0.238225	
3.6311	0.238224	
3.80223	0.238224	
3.98143	0.238224	
4.16907	0.238223	
4.36556	0.238223	
4.5713	0.238223	
4.78674	0.238223	
5.01234	0.238223	
5.24856	0.238223	
5.49592	0.238223	
5.75494	0.238223	
6.02617	0.238223	
6.31017	0.238223	
6.60757	0.238223	
6.91897	0.238223	
7.24506	0.238223	
7.58651	0.238223	
7.94406	0.238223	
8.31845	0.238223	
8.71049	0.238223	
9.12101	0.238223	
9.55088	0.238223	
10.001	0.238223	
